WFS3Tns219zcJDdVp97EPQzuptAGpfy3aiBjY7NagWCe2iR,5CNqcApnEmWtPUBo1WgzCjFipnB3JbyE2PD3VpuWiKWF429z,225,0.2732,225,0.2738,225,0.257,225,0.225,225,0.2084,225,0.2065,225,0.2007,1.645
WFmkoRtBmM6zrH6mECrVhCjLAT8THNLinfikpgXbBUsjxX1,5CPBKWToQXhzn2FGGvkjU33TF7k1V4fbhbAaX7UfipUv9rpf,13510.9056,16.4111,13510.9056,16.4471,13510.9056,15.4346,13510.9056,13.514,13510.9056,12.5196,13510.9056,12.4022,13510.9056,12.0545,98.7833
WFpJ7fbhiZQRBUR7RkskmhoPBw25yvcMXGiZAyej8CUXigt,5CPDrphWvUvJCMSad8Jkj7YXJ9Du7mDsLKmaKTmnrmCWwtSm,,,,,100,0.1142,299,0.299,299,0.277,299,0.2744,299,0.2667,1.2316
WFqn7ByJbSziGrd7XHGto7h2pESX9K5Xjh8FFCUuZjANN28,5CPFLpDtXMotVSpndDq9s8xQwmXKYvcLWYBz1Xzd3CjCnL4B,101,0.1226,101,0.1229,101,0.1153,101,0.101,101,0.0935,101,0.0927,101,0.0901,0.7384
WG6txEeRDYo1NsM33yJCZVMaDSpfRxFbxz5Xsy9VexoX6hp,5CPWTfGZdyugnYqWYkXBAuL5VAjhhDFWamUwJAmHdHxqw6Wp,30990,37.6422,30990,37.7248,,,,,,,,,,,75.3671
WGJ83P8fhw9xcay7SBPT1258P6ty8Yj27qLSgFL96HBt4H1,5CPhgkR3tUJ3jnZ8d8jGRLro3LPmzuqyzvLCCy3UGjHEHqzw,370,0.4494,370,0.4504,370,0.4226,370,0.37,370,0.3428,370,0.3396,370,0.3301,2.7052
WGQ6hA5G51mcBXBd7XGWEBTLDtBZcRLpa5w8xtYh1AD1kJ3,5CPofQBzUqNfPMVM8p59Ua2BFBB4bPiboNanuFggpeAFRgUL,5000,6.0732,5000,6.0866,5000,5.7119,5000,5.0011,5000,4.6331,5000,4.5897,5000,4.461,36.5569
WGQHscu9CjkWvtusUL9XFUVTKBbzUrK9E3oS3hogWZRgGij,5CPoraepMy6eJ6s5PAt2VbKDNGUV2G9a82YfCLVwp9ZU68xx,980,1.1903,980,1.1929,980,1.1195,880,0.8802,880,0.8154,880,0.8077,880,0.7851,6.7914
WGYdJZ5RmQxgTZR3AqdSnbFd4hqZ5zVgeChksZJGUzrh3JF,5CPxC1azeXmrTdXaYsPWR8RyY1ziasHkfShZXAMSQ7zu78HL,586,0.7117,586,0.7133,586,0.6694,586,0.5861,586,0.543,586,0.5379,586,0.5228,4.2844
WGZHjJUwWfRG7Lk4thA1xNSyaXZGBZrWHKUhHCzYRaYgvNd,5CPxrSLQAH2K3HJuabF2zJDAtXpSHxs7V5pLTa18g4ab6qws,,,,,,,598.4895,0.5986,598.4895,0.5545,598.4895,0.5493,598.4895,0.5339,2.2365
WGaXPqibyrHdnoApB9NN8NpHnQddhNpKBXrpasRjGwa5ZaP,5CPz66sdpkDBQxmLKshFLUDYCjhWfUg5Hz2iasfZruwcVht9,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
WGfsonnNKtjLUKtqEcfiCPQmSskRF35bLywS5myMS9oAzcG,5CQ5SWphb6Fd7eJ4LwAYgYE8gQAdT2LLa9UoCNa7V59qb5No,200,0.2429,200,0.2434,200,0.2284,200,0.2,200,0.1853,200,0.1835,200,0.1784,1.4622
WGgd3RFP85kFQi3EPmEAdQts5YUgbgedPVL1WdoyBDxhfC7,5CQ6BkTAbtSe2agCk6K78yFcn2qMiNyucBzBmoRx6pE17hb5,100,0.1214,100,0.1217,100,0.1142,100,0.1,100,0.0926,100,0.0917,100,0.0892,0.7311
WGx7BdfwZtGWHiMEHru4hJVmA1z5KRwuEvLribtcDvSpfZs,5CQMftfbALFAHTgWjzQn339Dg7Js76jCt3RCd1Q2jrvVEVh9,240,0.2915,240,0.2921,240,0.2741,240,0.24,240,0.2223,240,0.2203,240,0.2141,1.7547
WHh8yGird1P1QgiCw6kmMbRpb5dTeyZy3LTwz2qVztKFLW4,5CR6hgJe5PNGnaesidedjhS9jYNWVSGpwqqKiGpyddtMfCAt,200,0.2429,200,0.2434,200,0.2284,200,0.2,200,0.1853,200,0.1835,200,0.1784,1.4622
WJZVAfYbQAkxXjPJWVB7Xs29Q7zSGay2uHCA17SD8qpKE4f,5CRy3shTpAXejhhYpD345shk4MQsU3tE1hn3vHuaLmqrjMp6,645.5,0.784,645.5,0.7857,322.75,0.3687,322.75,0.3228,322.75,0.299,322.75,0.2962,645.5,0.5759,3.4326
WJhys9MobebptYsu1Kfp1bD4x49pLgemfuTtNzaQkPHbwah,5CS7YaBH2N1Vc4X3QhsYnMRvyuM2r7yukUQKefniYPPL29S5,500,0.6073,500,0.6086,300,0.3427,300,0.3,300,0.2779,300,0.2753,300,0.2676,2.6798
WJzrLWz5hpsGxX4Rd4mTwW5w1n6kA7uiHmN137hKBns5Xiy,5CSQR3YuJUBm48VDwKceSHLoqy4ymwRAh6GDmKuqSpnuVEUp,10000,12.1465,10000,12.1732,10000,11.4238,10000,10.0023,10000,9.2663,10000,9.1794,10000,8.922,73.1138
WM6BK55omxAYMSF2LfhAzsRVscSxPAfXMbTfdhtY3fFdCpW,5CUVk2712YK4KXQQY3Da9Li9QpuKzATvWA6KRvW2fgfJ38Hk,,,801.7754,0.976,801.7754,0.9159,801.7754,0.8019,801.7754,0.7429,801.7754,0.7359,801.7754,0.7153,4.8881
WMHDDs7sCuPUos4BJTmqgKWZVbq7jExPPasStiuCoyQuznf,5CUgmvu35yGHFyqDh11ep2AEUSti9WYDNC5jDBX3LSyTL68H,1200,1.4575,1200,1.4607,1200,1.3708,1200,1.2002,1200,1.1119,1200,1.1015,1200,1.0706,8.7736
